candidate_id,name_de,source_url,category_proposal,location_scope,reviewer_verdict,review_notes
MB-2025-01199,Neugestaltung der Kinderspielplätze am Richardplatz,https://mein.berlin.de/vorhaben/2025-01199/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01195,Neubau Umspannwerk Kurt-Schumacher-Damm,https://mein.berlin.de/vorhaben/2025-01195/,energy,official_register_navigation_point_not_footprint,,
MB-2025-01194,denkmalgerechte Modernisierung des Brunnenplatzes,https://mein.berlin.de/vorhaben/2025-01194/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01168,Neubau Radverkehrsanlage in der Oranienburger Straße,https://mein.berlin.de/vorhaben/2025-01168/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01155,Amtshaus Buchholz: Grundinstandsetzung,https://mein.berlin.de/vorhaben/2025-01155/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2025-01152,Sanierung des Kunstrasen Großspielfeldes Königshorster Straße,https://mein.berlin.de/vorhaben/2025-01152/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2025-01151,Freizeitpark Lübars - Wegesanierung,https://mein.berlin.de/vorhaben/2025-01151/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01148,Umbau der Adalbertstraße,https://mein.berlin.de/vorhaben/2025-01148/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01145,Ausbau der Schmidtstraße,https://mein.berlin.de/vorhaben/2025-01145/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01135,Sanierung Germersheimer Platz,https://mein.berlin.de/vorhaben/2025-01135/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01131,Umgestaltung Potentialflächen Sportplatz Maybachufer,https://mein.berlin.de/vorhaben/2025-01131/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2025-01129,Netzausbau Tempelhof-Schöneberg; Marienfelde,https://mein.berlin.de/vorhaben/2025-01129/,energy,official_register_navigation_point_not_footprint,,
MB-2025-01125,Neugestaltung Lausitzer Platz,https://mein.berlin.de/vorhaben/2025-01125/,public_space,official_register_navigation_point_not_footprint,,
